Customer ID,Gender,Age,Age_Segment,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Pop_Category,Number of Referrals,Is_Loyal_Referrer,Tenure in Months,Tenure_Segment,Offer,Phone Service,Multiple Lines,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Is_Fiber,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Streaming_Count,Service_Bundle_Score,Contract,Contract_Risk,Paperless Billing,Payment Method,Is_Digital_Native,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Has_Credit_Adjustment,Revenue_Per_Month,Refund_Rate,Extra_Charges_Ratio,Est_CLTV,Is_High_Value,Customer Status,Is_Churned,Churn Category,Churn Reason,Churn_Probability,Churn_Risk_Tier
0002-ORFBO,Female,37,Adult,Yes,0,Frazier Park,93225,34.827662,-118.999073,4498,Medium,2,0,9,6-12M,No Offer,Yes,No,42.39,Yes,Cable,0,16.0,No,Yes,No,Yes,Yes,No,No,Yes,1,5,One Year,2,Yes,Credit Card,0,65.6,593.3,0.0,0,381.51,974.81,0,108.31222222222222,0.0,0.39136857438885525,2970.5660377358486,0,Stayed,0,Not Churned,Not Churned,0.16316559365180391,Low Risk
0003-MKNFE,Male,46,Senior,No,0,Glendale,91206,34.162515,-118.203869,31297,High,0,0,9,6-12M,No Offer,Yes,Yes,10.69,Yes,Cable,0,10.0,No,No,No,No,No,Yes,Yes,No,2,3,Month-to-Month,3,No,Credit Card,0,0.0,542.4,38.33,10,96.21,610.28,1,67.80888888888889,0.0628072360228092,0.1740348692403487,0.0,0,Stayed,0,Not Churned,Not Churned,0.3652529096808938,Medium Risk
0004-TLHLJ,Male,50,Senior,No,0,Costa Mesa,92627,33.645672,-117.922613,62069,Very High,0,0,4,<6M,Offer E,Yes,No,33.65,Yes,Fiber Optic,1,30.0,No,No,Yes,No,No,No,No,Yes,0,4,Month-to-Month,3,Yes,Bank Withdrawal,1,73.9,280.85,0.0,0,134.6,415.45,0,103.8625,0.0,0.3239860392345649,3346.4150943396226,0,Churned,1,Competitor,Competitor had better devices,0.8960633939547828,Critical Risk
0011-IGKFF,Male,78,Elder,Yes,0,Martinez,94553,38.014457,-122.115432,46677,Very High,1,0,13,1-2Y,Offer D,Yes,No,27.82,Yes,Fiber Optic,1,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,2,5,Month-to-Month,3,Yes,Bank Withdrawal,1,98.0,1237.85,0.0,0,361.66,1599.51,0,123.03923076923077,0.0,0.22610674519071466,4437.735849056604,1,Churned,1,Dissatisfaction,Product dissatisfaction,0.9414156503425481,Critical Risk
0013-EXCHZ,Female,75,Elder,Yes,0,Camarillo,93010,34.227846,-119.079903,42853,Very High,3,1,3,<6M,No Offer,Yes,No,7.38,Yes,Fiber Optic,1,11.0,No,No,No,Yes,Yes,No,No,Yes,1,4,Month-to-Month,3,Yes,Credit Card,0,83.9,267.4,0.0,0,22.14,289.54,0,96.51333333333334,0.0,0.07646611867099537,3799.245283018868,0,Churned,1,Dissatisfaction,Network reliability,0.9454568933337621,Critical Risk
0013-MHZWF,Female,23,Young Adult,No,3,Midpines,95345,37.581496,-119.972762,433,Low,0,0,9,6-12M,Offer E,Yes,No,16.77,Yes,Cable,0,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,3,4,Month-to-Month,3,Yes,Credit Card,0,69.4,571.45,0.0,0,150.93,722.38,0,80.26444444444445,0.0,0.20893435587917716,3142.6415094339623,0,Stayed,0,Not Churned,Not Churned,0.2658838777153141,Low Risk
0013-SMEOE,Female,67,Elder,Yes,0,Lompoc,93437,34.757477,-120.550507,6165,Medium,1,0,71,4-6Y,Offer A,Yes,No,9.96,Yes,Fiber Optic,1,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,7,Two Year,1,Yes,Bank Withdrawal,1,109.7,7904.25,0.0,0,707.16,8611.41,0,121.2874647887324,0.0,0.08211895612913564,4967.547169811321,1,Stayed,0,Not Churned,Not Churned,0.14929575550400373,Low Risk
0014-BMAQU,Male,52,Senior,Yes,0,Napa,94558,38.489789,-122.27011,63947,Very High,8,1,63,4-6Y,Offer B,Yes,Yes,12.96,Yes,Fiber Optic,1,7.0,Yes,No,No,Yes,No,No,No,No,0,5,Two Year,1,Yes,Credit Card,0,84.65,5377.8,0.0,20,816.48,6214.28,0,98.63936507936508,0.0,0.13460610078721913,3833.2075471698113,0,Stayed,0,Not Churned,Not Churned,0.012561234796238718,Low Risk
0015-UOCOJ,Female,68,Elder,No,0,Simi Valley,93063,34.296813,-118.685703,49027,Very High,0,0,7,6-12M,Offer E,Yes,No,10.53,Yes,DSL,0,21.0,Yes,No,No,No,No,No,No,Yes,0,4,Two Year,1,Yes,Bank Withdrawal,1,48.2,340.35,0.0,0,73.71,414.06,0,59.151428571428575,0.0,0.17801767859730472,2182.6415094339627,0,Stayed,0,Not Churned,Not Churned,0.057307601135241616,Low Risk
0016-QLJIS,Female,43,Adult,Yes,1,Sheridan,95681,38.984756,-121.345074,1219,Low,3,1,65,4-6Y,No Offer,Yes,Yes,28.46,Yes,Cable,0,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,8,Two Year,1,Yes,Credit Card,0,90.45,5957.9,0.0,0,1849.9,7807.8,0,120.12,0.0,0.23692973692973693,4095.8490566037735,1,Stayed,0,Not Churned,Not Churned,0.002510912381395035,Low Risk
0017-DINOC,Male,47,Senior,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,1072,Low,0,0,54,4-6Y,No Offer,No,No,0.0,Yes,Cable,0,10.0,Yes,No,No,Yes,Yes,No,No,Yes,1,4,Two Year,1,No,Credit Card,0,45.2,2460.55,0.0,0,0.0,2460.55,0,45.56574074074074,0.0,0.0,2046.792452830189,0,Stayed,0,Not Churned,Not Churned,0.02082474499834927,Low Risk
0017-IUDMW,Female,25,Young Adult,Yes,2,Sunnyvale,94086,37.378541,-122.020456,64010,Very High,2,0,72,4-6Y,No Offer,Yes,Yes,16.01,Yes,Fiber Optic,1,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,8,Two Year,1,Yes,Credit Card,0,116.8,8456.75,0.0,0,1152.72,9609.47,0,133.4648611111111,0.0,0.1199566677454636,5289.056603773584,1,Stayed,0,Not Churned,Not Churned,0.028169435559370522,Low Risk
0018-NYROU,Female,58,Senior,Yes,0,Antelope,95843,38.715498,-121.363411,36432,Very High,0,0,5,<6M,No Offer,Yes,No,18.65,Yes,Fiber Optic,1,10.0,No,No,No,No,No,No,No,Yes,0,3,Month-to-Month,3,Yes,Bank Withdrawal,1,68.95,351.5,0.0,0,93.25,444.75,0,88.95,0.0,0.2096683530073075,3122.2641509433965,0,Stayed,0,Not Churned,Not Churned,0.6701178626613098,High Risk
